city,prov,m
Xi'an,Shaanxi,1857332
Xining,Qinghai,265159
Xishuangbanna Dai Autonomous Prefecture,Yunnan,55642
Xilin Gol League,Inner Mongolia,87604
Xiantao,Hubei,542687
Xianning,Hubei,787713
Xianyang,Shaanxi,1234843
Xiangtan,Hunan,1237674
Xiangxi Tujia and Miao Autonomous Prefecture,Hunan,608044
Xiangyang,Hubei,857285
Xiaogan,Hubei,1313542
Xinzhou,Shanxi,371132
Xinxiang,Henan,598008
Xinyu,Jiangxi,329514
Xinyang,Henan,1096324
Xingtai,Hebei,852361
Xing'an League,Inner Mongolia,104591
Xuzhou,Jiangsu,1943599
Xuchang,Henan,436028
Xuancheng,Anhui,862355
Ya'an,Sichuan,475968
Yantai,Shandong,742175
Yan'an,Shaanxi,182751
Yanbian Korean Autonomous Prefecture,Jilin,67357
Yancheng,Jiangsu,1810332
Yangzhou,Jiangsu,1560334
Yangjiang,Guangdong,732235
Yangquan,Shanxi,176702
Yichun,Heilongjiang,34024
Ili Kazakh Autonomous Prefecture,Xinjiang,91920
Yibin,Sichuan,1002626
Yichang,Hubei,808257
Yichun,Jiangxi,1391893
Yiyang,Hunan,1126533
Yinchuan,Ningxia,501714
Yingtan,Jiangxi,385481
Yingkou,Liaoning,302176
Yongzhou,Hunan,1252620
Yulin,Shaanxi,355515
Yulin,Guangxi,1075476
Yushu Tibetan Autonomous Prefecture,Qinghai,6443
Yuxi,Yunnan,373460
Yueyang,Hunan,1309920
Yunfu,Guangdong,929135
Yuncheng,Shanxi,441335
Zaozhuang,Shandong,701157
Zhangjiang,Guangdong,1309481
Zhangjiajie,Hunan,298840
Zhangjiakou,Hebei,305515
Zhangye,Gansu,114965
Zhangzhou,Fujian,920856
Changchun,Jilin,883381
Changsha,Hunan,3292775
Changzhi,Shanxi,298541
Zhaotong,Yunnan,798716
Zhaoqing,Guangdong,1802471
Zhenjiang,Jiangsu,1581184
Zhengzhou,Henan,1500786
Zhongshan,Guangdong,1693049
Zhongwei,Ningxia,249576
Chongqing,Chongqing,4240747
Zhoushan,Zhejiang,173077
Zhoukou,Henan,1440236
Zhuhai,Guangdong,634100
Zhuzhou,Hunan,1314137
Zhumadian,Henan,1081337
Ziyang,Sichuan,1063223
Zibo,Shandong,1031020
Zigong,Sichuan,918701
Zunyi,Guizhou,1522575
